Fonction,Titulaire
Premier ministre,Jean Castex
"Garde des Sceaux, ministre de la Justice",Eric Dupond-Moretti
Ministre de l'Europe et des Affaires étrangères,Jean-Yves Le Drian
Ministre des Armées,Florence Parly
Ministre de l'Écologie,Barbara Pompili
Ministre des Solidarités et de la Santé,Olivier Véran
Ministre de l'Économie et des Finances,Bruno Le Maire
Ministre du Travail,Elisabeth Borne
Ministre de l'Éducation nationale et de la Jeunesse,Jean-Michel Blanquer
Ministre de l'Intérieur,Gérald Darmanin
"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Frédérique Vidal
Ministre de la Cohésion des territoires et des Relations avec les collectivités territoriales,Jacqueline Gourault
Ministre des Outre-mer,Sébastien Lecornu
Ministre de la Culture,Roselyne Bachelot
Ministre de l'Agriculture et de l'Alimentation,Julien Denormandie
Ministre des Sports,Roxana Maracineanu
Ministre de la Mer,Annick Girardin
Ministre de la Transformation de la Fonction Publique,Amélie de Montchalin
Ministre des Relations avec le parlement et de la Participation Citoyenne,Marc Fénau
Ministre-délégué du Logement,Emmanuelle Wargon
Ministre-délégué des Transports,Jean-Baptiste Djebarri
Ministre-délégué de la Ville,Nadia Hai
Ministre-délégué du Commerce extérieur et de l'Attractivité,Frank Riester
Ministre-délégué à l'Égalité hommes-femmes et à l'Égalité des chances,Elisabeth Moreno
Ministre-délégué de la Citoyenneté,Marlène Schiappa
"Secrétaire d'État, Porte-parole du gouvernement",Gabriel Attal
